Topic,Difficulty,Question,Answer
Geometry,Easy,"What is the formula for the area of a circle?","pi * r^2"
Geometry,Easy,"What is the formula for the circumference of a circle?","2 * pi * r"
Geometry,Easy,"What is the formula for the volume of a cylinder?","pi * r^2 * h"
Geometry,Hard,"What is the formula for the volume of a sphere?","4/3 * pi * r^3"
Geometry,Hard,"What is the formula for the surface area of a sphere?","4 * pi * r^2"
Geometry,Hard,"What is the formula for the volume of a cone?","1/3 * pi * r^2 * h"
Combinatorics,Easy,"How many ways can you arrange the letters in the word 'MATH'?","4! = 24"
Combinatorics,Easy,"How many ways can you arrange the letters in the word 'COMBINATORICS'?","13! = 6227020800"
Combinatorics,Easy,"How many ways can you arrange the letters in the word 'MISSISSIPPI'?","11! / (4! * 4! * 2!) = 34650"
Combinatorics,Hard,"How many ways can you arrange the letters in the word 'MISSISSIPPI' such that no two 'I's are adjacent?","11! / (4! * 4!) = 34650"
Combinatorics,Hard,"How many ways can you arrange the letters in the word 'MISSISSIPPI' such that no two 'I's are adjacent and the word starts with 'M'?","10! / (4! * 4!) = 6300"
Combinatorics,Hard,"How many ways can you arrange the letters in the word 'MISSISSIPPI' such that no two 'I's are adjacent and the word starts with 'M' and ends with 'I'?","9! / (4! * 4!) = 630"
Number Theory,Easy,"What is the smallest prime number?","2"
Number Theory,Easy,"What is the largest prime number less than 100?","97"
Number Theory,Easy,"What is the sum of the first 100 positive integers?","5050"
Number Theory,Hard,"What is the sum of the first 100 prime numbers?","24133"
Number Theory,Hard,"What is the sum of the first 100 odd positive integers?","10000"
Number Theory,Hard,"What is the sum of the first 100 even positive integers?","10100"
Algebra,Easy,"What is the formula for the quadratic equation?","(-b ± sqrt(b^2 - 4ac)) / 2a"
Algebra,Easy,"What is the formula for the sum of the first n positive integers?","n * (n + 1) / 2"
Algebra,Easy,"What is the formula for the sum of the first n odd positive integers?","n^2"
Algebra,Hard,"What is the formula for the sum of the first n even positive integers?","n * (n + 1)"
Algebra,Hard,"What is the formula for the sum of the first n perfect squares?","n * (n + 1) * (2n + 1) / 6"
Algebra,Hard,"What is the formula for the sum of the first n perfect cubes?","(n * (n + 1) / 2)^2"
Calculus,Easy,"What is the derivative of x^n?","n * x^(n-1)"
Calculus,Easy,"What is the integral of x^n?","x^(n+1) / (n + 1)"
Calculus,Easy,"What is the derivative of sin(x)?","cos(x)"
Calculus,Hard,"What is the integral of cos(x)?","sin(x)"
Calculus,Hard,"What is the derivative of e^x?","e^x"
Calculus,Hard,"What is the integral of e^x?","e^x"
Trivia,Easy,"What is the capital of France?","Paris"
Trivia,Easy,"What is the capital of Japan?","Tokyo"
Trivia,Easy,"What is the capital of the United States?","Washington, D.C."
Trivia,Hard,"What is the capital of Australia?","Canberra"
Trivia,Hard,"What is the capital of Brazil?","Brasília"
Trivia,Hard,"What is the capital of Canada?","Ottawa"
